smasvaedi,staerdarflokkur,fjherb,svfnr,framvinda,Fjöldi
1.0,1.0,1.0,0.0,Fullbúið,12.0
1.0,1.0,2.0,0.0,Fullbúið,24.0
1.0,1.0,3.0,0.0,Fullbúið,4.0
1.0,2.0,1.0,0.0,Fullbúið,4.0
1.0,2.0,2.0,0.0,Fullbúið,165.0
1.0,2.0,3.0,0.0,Fullbúið,77.0
1.0,2.0,4.0,0.0,Fullbúið,9.0
1.0,3.0,2.0,0.0,Fullbúið,26.0
1.0,3.0,3.0,0.0,Fullbúið,146.0
1.0,3.0,4.0,0.0,Fullbúið,34.0
1.0,3.0,5.0,0.0,Fullbúið,7.0
1.0,3.0,6.0,0.0,Fullbúið,1.0
1.0,4.0,1.0,0.0,Fullbúið,1.0
1.0,4.0,2.0,0.0,Fullbúið,7.0
1.0,4.0,3.0,0.0,Fullbúið,59.0
1.0,4.0,4.0,0.0,Fullbúið,53.0
1.0,4.0,5.0,0.0,Fullbúið,13.0
1.0,4.0,6.0,0.0,Fullbúið,4.0
1.0,4.0,7.0,0.0,Fullbúið,2.0
1.0,5.0,3.0,0.0,Fullbúið,13.0
1.0,5.0,4.0,0.0,Fullbúið,13.0
1.0,5.0,5.0,0.0,Fullbúið,23.0
1.0,5.0,6.0,0.0,Fullbúið,12.0
1.0,5.0,7.0,0.0,Fullbúið,3.0
1.0,5.0,8.0,0.0,Fullbúið,2.0
1.0,6.0,0.0,0.0,Fullbúið,2.0
1.0,6.0,4.0,0.0,Fullbúið,1.0
1.0,6.0,5.0,0.0,Fullbúið,7.0
1.0,6.0,6.0,0.0,Fullbúið,13.0
1.0,6.0,7.0,0.0,Fullbúið,11.0
1.0,6.0,8.0,0.0,Fullbúið,7.0
1.0,6.0,9.0,0.0,Fullbúið,4.0
1.0,6.0,11.0,0.0,Fullbúið,2.0
2.0,1.0,1.0,0.0,Fullbúið,2.0
2.0,1.0,2.0,0.0,Fullbúið,8.0
2.0,1.0,3.0,0.0,Fullbúið,3.0
2.0,2.0,2.0,0.0,Fullbúið,83.0
2.0,2.0,3.0,0.0,Fullbúið,36.0
2.0,2.0,4.0,0.0,Fullbúið,3.0
2.0,3.0,0.0,0.0,Fullbúið,1.0
2.0,3.0,2.0,0.0,Fullbúið,19.0
2.0,3.0,3.0,0.0,Fullbúið,109.0
2.0,3.0,4.0,0.0,Fullbúið,36.0
2.0,3.0,5.0,0.0,Fullbúið,5.0
2.0,4.0,2.0,0.0,Fullbúið,1.0
2.0,4.0,3.0,0.0,Fullbúið,19.0
2.0,4.0,4.0,0.0,Fullbúið,37.0
2.0,4.0,5.0,0.0,Fullbúið,12.0
2.0,4.0,6.0,0.0,Fullbúið,4.0
2.0,5.0,3.0,0.0,Fullbúið,2.0
2.0,5.0,4.0,0.0,Fullbúið,17.0
2.0,5.0,5.0,0.0,Fullbúið,21.0
2.0,5.0,6.0,0.0,Fullbúið,6.0
2.0,5.0,8.0,0.0,Fullbúið,2.0
2.0,6.0,0.0,0.0,Fullbúið,9.0
2.0,6.0,3.0,0.0,Fullbúið,1.0
2.0,6.0,4.0,0.0,Fullbúið,1.0
2.0,6.0,5.0,0.0,Fullbúið,7.0
2.0,6.0,6.0,0.0,Fullbúið,16.0
2.0,6.0,7.0,0.0,Fullbúið,13.0
2.0,6.0,8.0,0.0,Fullbúið,12.0
2.0,6.0,9.0,0.0,Fullbúið,5.0
2.0,6.0,10.0,0.0,Fullbúið,3.0
2.0,6.0,11.0,0.0,Fullbúið,2.0
2.0,6.0,12.0,0.0,Fullbúið,1.0
2.0,6.0,14.0,0.0,Fullbúið,1.0
2.0,6.0,15.0,0.0,Fullbúið,1.0
