Sveitarfélag,Tegundlóða,Lóðasvæði,Staða,Athugasemdir,Smásvæði,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Samtals
Reykjavíkurborg,Fjölbýli,Borgartún 34-36,Byggingarhæf lóð,,20.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Suðurfell,Þróunar- og framtíðarsvæði,Skipulagsferli - tillaga í vinnslu,35.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0
Reykjavíkurborg,Fjölbýli,Guðrúnartún,Þróunar- og framtíðarsvæði,Þróunarsvæði,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0
Reykjavíkurborg,Fjölbýli,Heklureitur - Laugavegur 168,Byggingarhæf lóð,Í byggingu,18.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Borgartún 41,Byggingarhæf lóð,Í byggingu,22.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
Reykjavíkurborg,Fjölbýli,Miðborg - annað,Samþykkt deiliskipulag,"Hluti er byggingarhæft, hluti í samþykktu deiliskipulagi, hluti í skipulagsferli - forvinnu",13.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Múlar - Lágmúli 2,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,34.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Reykjavíkurborg,Fjölbýli,Safamýri - íþróttasvæði,Þróunar- og framtíðarsvæði,Þróunarreitur,33.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
Reykjavíkurborg,Fjölbýli,Vogabyggð I - Stefnisvogur 24,Byggingarhæf lóð,,26.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
Reykjavíkurborg,Fjölbýli,Árbær,Þróunar- og framtíðarsvæði,Hverfisskipulag,48.0,0.0,26.0,42.0,42.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,250.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 9a,Samþykkt deiliskipulag,Óbyggingarhæf lóð - innviðir,186.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Reykjavíkurborg,Fjölbýli,"Hlíðar (Bolholt 5, Brautarholt 16, Laugavegur 105 o.fl.)",Byggingarhæf lóð,"Að hluta byggingarhæft, annað á þróunarstigi",19.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,180.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Laugavegur 159,Samþykkt deiliskipulag,-,20.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Reykjavíkurborg,Fjölbýli,U-reitur,Þróunar- og framtíðarsvæði,Þróunarreitur,,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
Reykjavíkurborg,Fjölbýli,Loftleiðasvæði,Þróunar- og framtíðarsvæði,Í deiliskipulagsferli - forvinnu,11.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,400.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Rangársel,Þróunar- og framtíðarsvæði,Þróunarsvæði,42.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Suðurhólar,Þróunar- og framtíðarsvæði,Framtíðarsvæði,39.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Bryggjuhverfi III -  Gjúkabryggja 10,Byggingarhæf lóð,Í byggingu,186.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
Reykjavíkurborg,Fjölbýli,Gufunes I,Byggingarhæf lóð,Þróunarreitur,53.0,0.0,100.0,100.0,50.0,35.0,35.0,35.0,35.0,35.0,35.0,40.0,500.0
Reykjavíkurborg,Fjölbýli,Háskóli Íslands,Þróunar- og framtíðarsvæði,Þróunarsvæði,11.0,0.0,0.0,50.0,50.0,50.0,75.0,75.0,75.0,75.0,0.0,0.0,450.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Hólmasund v/Holtaveg - Þróttaraheimili,Þróunar- og framtíðarsvæði,Þróunarreitur,26.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Álfheimar 49,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,24.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Múlar - Síðumúli,Þróunar- og framtíðarsvæði,Framtíðarsvæði,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
Reykjavíkurborg,Fjölbýli,"Vesturbær (Vesturbugt, Meistaravellir, JL, Bræðraborgarstígur, Ægissíða 102B, Landhelgisgæslan, annað)",Þróunar- og framtíðarsvæði,Hluti svæða kominn í deiliskipulagsferli - forvinnu,176.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,540.0
Reykjavíkurborg,Fjölbýli,Miðborg - Norðurstígur 5,Byggingarhæf lóð,Í byggingu,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Reykjavíkurborg,Fjölbýli,Vesturbær - Héðinsreitur,Byggingarhæf lóð,-,4.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Reykjavíkurborg,Einbýli,Grafarholt-Úlfarsárdalur - Gerðarbrunnur 7,Byggingarhæf lóð,Í byggingu,192.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Reykjavíkurborg,Parhús/raðhús/tvíbýli,Úlfarsárdalur - Iðunnarbrunnur 15,Byggingarhæf lóð,Í byggingu,192.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Reykjavíkurborg,Fjölbýli,Hlíðar - Brautarholt 6,Byggingarhæf lóð,Í byggingu - breytingar,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Reykjavíkurborg,Fjölbýli,Hlíðar - Grettisgata 87,Þróunar- og framtíðarsvæði,Þróunarsvæði,19.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Laugavegur - Þjóðskjalasafn o.fl.,Þróunar- og framtíðarsvæði,Þróunarsvæði,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,200.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Breiðhöfði 27 (Lóð 11),Þróunar- og framtíðarsvæði,Skipulagsferli - tillaga í vinnslu,186.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Breiðhöfði 9,Byggingarhæf lóð,-,186.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 5,Samþykkt deiliskipulag,Óbyggingarhæf lóð - innviðir,186.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Lóð 6,Samþykkt deiliskipulag,Óbyggingarhæf lóð - innviðir,186.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
Reykjavíkurborg,Fjölbýli,Aðrar lóðir - óstaðsettar,Þróunar- og framtíðarsvæði,Þróunarreitur,,0.0,0.0,0.0,0.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,2100.0
Reykjavíkurborg,Fjölbýli,Hlíðarendi - Haukahlíð 4,Byggingarhæf lóð,,11.0,0.0,92.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0
Reykjavíkurborg,Einbýli,Grafarholt-Úlfarsárdalur - Haukdælabraut 42,Byggingarhæf lóð,Í byggingu,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Reykjavíkurborg,Parhús/raðhús/tvíbýli,Háaleiti og Bústaðir - Lautarvegur 36,Byggingarhæf lóð,Í byggingu,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Reykjavíkurborg,Fjölbýli,Breiðholt - Mið Mjódd,Þróunar- og framtíðarsvæði,Þróunarsvæði,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,400.0
Reykjavíkurborg,Fjölbýli,Hlíðarendi - Haukahlíð 6 - Bjarg,Byggingarhæf lóð,,11.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
Reykjavíkurborg,Fjölbýli,Hlíðarendi - Lóð J,Þróunar- og framtíðarsvæði,Skipulagsferli - forvinna,11.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,150.0
Reykjavíkurborg,Fjölbýli,Laugardalur - Suðurlandsbraut,Þróunar- og framtíðarsvæði,Þróunarreitur,,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Reykjavíkurborg,Fjölbýli,Sjómannaskólareitur,Byggingarhæf lóð,Þróunarreitur,18.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Reykjavíkurborg,Fjölbýli,Ártúnshöfði I - Krossamýrartorg - Breiðhöfði (Lóð 3 - Klasi),Byggingarhæf lóð,-,186.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
