ar,smasvaedi,tekjutiund,fjoldi
2008,0101,1,71
2008,0101,2,54
2008,0101,3,57
2008,0101,4,69
2008,0101,5,65
2008,0101,6,86
2008,0101,7,107
2008,0101,8,89
2008,0101,9,83
2008,0101,10,71
2008,0102,1,45
2008,0102,2,46
2008,0102,3,58
2008,0102,4,33
2008,0102,5,31
2008,0102,6,49
2008,0102,7,48
2008,0102,8,59
2008,0102,9,70
2008,0102,10,97
2008,0103,1,76
2008,0103,2,80
2008,0103,3,45
2008,0103,4,51
2008,0103,5,55
2008,0103,6,57
2008,0103,7,79
2008,0103,8,81
2008,0103,9,80
2008,0103,10,97
2008,0104,1,29
2008,0104,2,48
2008,0104,3,58
2008,0104,4,59
2008,0104,5,51
2008,0104,6,47
2008,0104,7,51
2008,0104,8,46
2008,0104,9,49
2008,0104,10,53
2008,0201,1,54
2008,0201,2,29
2008,0201,3,43
2008,0201,4,44
2008,0201,5,50
2008,0201,6,39
2008,0201,7,46
2008,0201,8,47
2008,0201,9,58
2008,0201,10,85
2008,0202,1,89
2008,0202,2,84
2008,0202,3,65
2008,0202,4,51
2008,0202,5,71
2008,0202,6,63
2008,0202,7,68
2008,0202,8,63
2008,0202,9,78
2008,0202,10,86
2008,0203,1,83
2008,0203,2,65
2008,0203,3,44
2008,0203,4,40
2008,0203,5,65
2008,0203,6,75
2008,0203,7,73
2008,0203,8,90
2008,0203,9,96
2008,0203,10,126
2008,0204,1,69
2008,0204,2,47
2008,0204,3,57
2008,0204,4,52
2008,0204,5,59
2008,0204,6,69
2008,0204,7,56
2008,0204,8,80
2008,0204,9,80
2008,0204,10,112
2008,0205,1,58
2008,0205,2,51
2008,0205,3,47
2008,0205,4,65
2008,0205,5,66
2008,0205,6,69
2008,0205,7,70
2008,0205,8,61
2008,0205,9,89
2008,0205,10,75
2008,0206,1,71
2008,0206,2,54
2008,0206,3,47
2008,0206,4,76
2008,0206,5,84
2008,0206,6,89
2008,0206,7,86
2008,0206,8,82
2008,0206,9,117
2008,0206,10,148
2008,0207,1,41
2008,0207,2,44
2008,0207,3,28
2008,0207,4,46
2008,0207,5,40
2008,0207,6,56
2008,0207,7,43
2008,0207,8,45
2008,0207,9,64
2008,0207,10,46
2008,0208,1,56
2008,0208,2,47
2008,0208,3,57
2008,0208,4,44
2008,0208,5,57
2008,0208,6,70
2008,0208,7,79
2008,0208,8,102
2008,0208,9,93
2008,0208,10,106
2008,0301,1,80
2008,0301,2,103
2008,0301,3,88
2008,0301,4,96
2008,0301,5,94
2008,0301,6,114
2008,0301,7,132
2008,0301,8,107
2008,0301,9,143
2008,0301,10,148
2008,0302,1,106
2008,0302,2,128
2008,0302,3,132
2008,0302,4,125
2008,0302,5,146
2008,0302,6,150
2008,0302,7,148
2008,0302,8,136
2008,0302,9,140
2008,0302,10,110
2008,0303,1,65
2008,0303,2,89
2008,0303,3,92
2008,0303,4,86
2008,0303,5,73
2008,0303,6,96
2008,0303,7,77
2008,0303,8,81
2008,0303,9,75
2008,0303,10,101
2008,0304,1,90
2008,0304,2,127
2008,0304,3,129
2008,0304,4,139
2008,0304,5,105
2008,0304,6,129
2008,0304,7,107
2008,0304,8,98
2008,0304,9,78
2008,0304,10,91
2008,0401,1,88
2008,0401,2,84
2008,0401,3,81
2008,0401,4,90
2008,0401,5,109
2008,0401,6,115
2008,0401,7,97
2008,0401,8,131
2008,0401,9,158
2008,0401,10,167
2008,0402,1,118
2008,0402,2,109
2008,0402,3,62
2008,0402,4,97
2008,0402,5,92
2008,0402,6,126
2008,0402,7,118
2008,0402,8,135
2008,0402,9,141
2008,0402,10,165
2008,0403,1,43
2008,0403,2,64
2008,0403,3,78
2008,0403,4,60
2008,0403,5,74
2008,0403,6,75
2008,0403,7,69
2008,0403,8,78
2008,0403,9,74
2008,0403,10,51
2008,0404,1,107
2008,0404,2,84
2008,0404,3,68
2008,0404,4,76
2008,0404,5,103
2008,0404,6,109
2008,0404,7,122
2008,0404,8,123
2008,0404,9,120
2008,0404,10,130
2008,0405,1,73
2008,0405,2,101
2008,0405,3,115
2008,0405,4,123
2008,0405,5,109
2008,0405,6,97
2008,0405,7,106
2008,0405,8,109
2008,0405,9,98
2008,0405,10,87
2008,0501,1,79
2008,0501,2,111
2008,0501,3,95
2008,0501,4,103
2008,0501,5,89
2008,0501,6,90
2008,0501,7,84
2008,0501,8,91
2008,0501,9,62
2008,0501,10,57
2008,0502,1,57
2008,0502,2,79
2008,0502,3,59
2008,0502,4,59
2008,0502,5,67
2008,0502,6,75
2008,0502,7,79
2008,0502,8,92
2008,0502,9,94
2008,0502,10,86
2008,0503,1,62
2008,0503,2,57
2008,0503,3,46
2008,0503,4,45
2008,0503,5,68
2008,0503,6,72
2008,0503,7,69
2008,0503,8,72
2008,0503,9,85
2008,0503,10,82
2008,0504,1,73
2008,0504,2,61
2008,0504,3,56
2008,0504,4,64
2008,0504,5,60
2008,0504,6,74
2008,0504,7,80
2008,0504,8,75
2008,0504,9,72
2008,0504,10,65
2008,0601,1,95
2008,0601,2,98
2008,0601,3,100
2008,0601,4,126
2008,0601,5,128
2008,0601,6,136
2008,0601,7,145
2008,0601,8,127
2008,0601,9,120
2008,0601,10,92
2008,0602,1,94
2008,0602,2,82
2008,0602,3,73
2008,0602,4,75
2008,0602,5,94
2008,0602,6,80
2008,0602,7,83
2008,0602,8,111
2008,0602,9,126
2008,0602,10,86
2008,0603,1,42
2008,0603,2,31
2008,0603,3,36
2008,0603,4,34
2008,0603,5,44
2008,0603,6,46
2008,0603,7,40
2008,0603,8,41
2008,0603,9,48
2008,0603,10,75
2008,0604,1,73
2008,0604,2,67
2008,0604,3,78
2008,0604,4,62
2008,0604,5,64
2008,0604,6,81
2008,0604,7,84
2008,0604,8,82
2008,0604,9,76
2008,0604,10,85
2008,0605,1,57
2008,0605,2,45
2008,0605,3,55
2008,0605,4,46
2008,0605,5,52
2008,0605,6,51
2008,0605,7,54
2008,0605,8,40
2008,0605,9,60
2008,0605,10,87
2008,0606,1,68
2008,0606,2,70
2008,0606,3,56
2008,0606,4,76
2008,0606,5,79
2008,0606,6,84
2008,0606,7,88
2008,0606,8,100
2008,0606,9,73
2008,0606,10,76
2008,0701,1,70
2008,0701,2,73
2008,0701,3,50
2008,0701,4,46
2008,0701,5,63
2008,0701,6,65
2008,0701,7,78
2008,0701,8,78
2008,0701,9,90
2008,0701,10,121
2008,0702,1,59
2008,0702,2,41
2008,0702,3,30
2008,0702,4,37
2008,0702,5,43
2008,0702,6,43
2008,0702,7,68
2008,0702,8,59
2008,0702,9,73
2008,0702,10,151
2008,0703,1,68
2008,0703,2,50
2008,0703,3,64
2008,0703,4,64
2008,0703,5,59
2008,0703,6,74
2008,0703,7,76
2008,0703,8,75
2008,0703,9,102
2008,0703,10,79
2008,0704,1,88
2008,0704,2,81
2008,0704,3,63
2008,0704,4,77
2008,0704,5,96
2008,0704,6,105
2008,0704,7,74
2008,0704,8,103
2008,0704,9,124
2008,0704,10,149
2008,0705,1,87
2008,0705,2,69
2008,0705,3,60
2008,0705,4,60
2008,0705,5,57
2008,0705,6,103
2008,0705,7,76
2008,0705,8,104
2008,0705,9,139
2008,0705,10,190
2008,0706,1,151
2008,0706,2,119
2008,0706,3,124
2008,0706,4,113
2008,0706,5,138
2008,0706,6,135
2008,0706,7,139
2008,0706,8,156
2008,0706,9,136
2008,0706,10,153
2008,0707,1,44
2008,0707,2,52
2008,0707,3,49
2008,0707,4,48
2008,0707,5,63
2008,0707,6,60
2008,0707,7,67
2008,0707,8,65
2008,0707,9,60
2008,0707,10,50
2008,0708,1,84
2008,0708,2,75
2008,0708,3,77
2008,0708,4,84
2008,0708,5,95
2008,0708,6,100
2008,0708,7,107
2008,0708,8,103
2008,0708,9,104
2008,0708,10,102
2008,0801,1,75
2008,0801,2,88
2008,0801,3,82
2008,0801,4,118
2008,0801,5,116
2008,0801,6,96
2008,0801,7,87
2008,0801,8,73
2008,0801,9,60
2008,0801,10,27
2008,0802,1,33
2008,0802,2,61
2008,0802,3,53
2008,0802,4,72
2008,0802,5,75
2008,0802,6,74
2008,0802,7,56
2008,0802,8,71
2008,0802,9,71
2008,0802,10,39
2008,0803,1,95
2008,0803,2,125
2008,0803,3,146
2008,0803,4,152
2008,0803,5,157
2008,0803,6,151
2008,0803,7,136
2008,0803,8,100
2008,0803,9,65
2008,0803,10,35
2008,0804,1,119
2008,0804,2,135
2008,0804,3,126
2008,0804,4,154
2008,0804,5,148
2008,0804,6,177
2008,0804,7,144
2008,0804,8,123
2008,0804,9,98
2008,0804,10,78
2008,0805,1,89
2008,0805,2,72
2008,0805,3,64
2008,0805,4,88
2008,0805,5,90
2008,0805,6,76
2008,0805,7,86
2008,0805,8,80
2008,0805,9,61
2008,0805,10,48
2008,0806,1,98
2008,0806,2,97
2008,0806,3,101
2008,0806,4,126
2008,0806,5,139
2008,0806,6,113
2008,0806,7,132
2008,0806,8,131
2008,0806,9,90
2008,0806,10,51
2008,0807,1,65
2008,0807,2,76
2008,0807,3,74
2008,0807,4,114
2008,0807,5,97
2008,0807,6,101
2008,0807,7,93
2008,0807,8,90
2008,0807,9,65
2008,0807,10,40
2008,0901,1,113
2008,0901,2,117
2008,0901,3,100
2008,0901,4,122
2008,0901,5,129
2008,0901,6,109
2008,0901,7,126
2008,0901,8,126
2008,0901,9,126
2008,0901,10,163
2008,0902,1,73
2008,0902,2,73
2008,0902,3,66
2008,0902,4,64
2008,0902,5,84
2008,0902,6,73
2008,0902,7,71
2008,0902,8,75
2008,0902,9,82
2008,0902,10,133
2008,0903,1,101
2008,0903,2,84
2008,0903,3,70
2008,0903,4,93
2008,0903,5,131
2008,0903,6,89
2008,0903,7,123
2008,0903,8,113
2008,0903,9,82
2008,0903,10,59
2008,0904,1,98
2008,0904,2,99
2008,0904,3,76
2008,0904,4,67
2008,0904,5,101
2008,0904,6,84
2008,0904,7,105
2008,0904,8,99
2008,0904,9,97
2008,0904,10,113
2008,0905,1,52
2008,0905,2,54
2008,0905,3,61
2008,0905,4,68
2008,0905,5,65
2008,0905,6,53
2008,0905,7,59
2008,0905,8,61
2008,0905,9,79
2008,0905,10,61
2008,1001,1,22
2008,1001,2,30
2008,1001,3,14
2008,1001,4,31
2008,1001,5,31
2008,1001,6,36
2008,1001,7,30
2008,1001,8,40
2008,1001,9,37
2008,1001,10,28
2008,1002,1,62
2008,1002,2,49
2008,1002,3,52
