ar,smasvaedi,fjoldi
2008,0101,752
2008,0102,536
2008,0103,701
2008,0104,491
2008,0201,495
2008,0202,718
2008,0203,757
2008,0204,681
2008,0205,651
2008,0206,854
2008,0207,453
2008,0208,711
2008,0301,1105
2008,0302,1321
2008,0303,835
2008,0304,1093
2008,0401,1120
2008,0402,1163
2008,0403,666
2008,0404,1042
2008,0405,1018
2008,0501,861
2008,0502,747
2008,0503,658
2008,0504,680
2008,0601,1167
2008,0602,904
2008,0603,437
2008,0604,752
2008,0605,547
2008,0606,770
2008,0701,734
2008,0702,604
2008,0703,711
2008,0704,960
2008,0705,945
2008,0706,1364
2008,0707,558
2008,0708,931
2008,0801,822
2008,0802,605
2008,0803,1162
2008,0804,1302
2008,0805,754
2008,0806,1078
2008,0807,815
2008,0901,1231
2008,0902,794
2008,0903,945
2008,0904,939
2008,0905,613
2008,1001,299
2008,1002,682
2008,1003,1413
2008,1004,1076
2008,1005,898
2008,1006,960
2008,1101,439
2008,1102,1469
2008,1103,1346
2008,1104,1054
2008,1201,933
2008,1202,1381
2008,1203,725
2008,1204,1096
2008,1205,643
2008,1206,755
2008,1301,939
2008,1302,1076
2008,1303,750
2008,1304,14
2008,1305,452
2008,1401,487
2008,1402,232
2008,1403,551
2008,1404,457
2008,1501,1055
2008,1502,847
2008,1503,1160
2008,1504,1014
2008,1601,282
2008,1602,1167
2008,1603,1605
2008,1701,433
2008,1702,569
2008,1703,619
2008,1704,811
2008,1705,1093
2008,1706,1024
2008,1801,654
2008,1802,475
2008,1803,104
2008,1804,631
2008,1805,589
2008,1806,394
2008,1807,846
2008,1808,1145
2008,1809,569
2008,1810,442
2008,1811,647
2008,1901,983
2008,1902,333
2008,1903,213
2008,1904,839
2008,2001,821
2008,2002,326
2008,2003,481
2008,2004,1219
2008,2005,919
2008,2006,1155
2008,2007,1070
2008,2008,484
2008,2101,1026
2008,2102,377
2008,2103,592
2008,2104,987
2008,2105,542
2008,2106,1027
2008,2201,572
2008,2202,75
2008,2203,147
2008,2204,649
2008,2205,675
2008,2301,884
2008,2302,532
2008,2303,869
2008,2401,793
2008,2402,1016
2008,2403,1135
2008,2404,753
2008,2405,231
2008,2406,657
2008,2407,11
2008,2501,1020
2008,2502,405
2008,2503,799
2008,2504,831
2008,2601,913
2008,2602,1186
2008,2701,605
2008,2702,774
2008,2703,1042
2008,2704,802
