ar,smasvaedi,kyn,aldursflokkur,fjoldi
2011,0103,1,0-4 ára,38
2017,2903,2,0-4 ára,56
2014,0303,2,0-4 ára,40
2024,3101,1,0-4 ára,48
2010,2004,1,0-4 ára,59
2009,1202,1,0-4 ára,123
2019,1005,1,0-4 ára,38
2021,3102,2,0-4 ára,53
2013,2104,2,0-4 ára,57
2017,4001,1,0-4 ára,20
2014,0602,2,0-4 ára,66
2017,2901,1,0-4 ára,58
2022,1204,1,0-4 ára,78
2023,1401,2,0-4 ára,75
2015,2203,2,0-4 ára,53
2015,2702,1,0-4 ára,45
2017,1403,2,0-4 ára,47
2017,0606,2,0-4 ára,48
2010,4003,1,0-4 ára,30
2010,1201,2,0-4 ára,49
2016,3202,2,0-4 ára,62
2011,1202,1,0-4 ára,105
2016,0901,1,0-4 ára,78
2010,0804,2,0-4 ára,132
2013,1302,2,0-4 ára,114
2023,1706,2,0-4 ára,64
2013,1205,2,0-4 ára,28
2014,2503,2,0-4 ára,40
2022,0103,1,0-4 ára,33
2014,2903,2,0-4 ára,45
2024,2407,1,0-4 ára,47
2011,0503,2,0-4 ára,48
2018,3202,1,0-4 ára,43
2022,0301,1,0-4 ára,98
2013,0602,1,0-4 ára,61
2024,1807,2,0-4 ára,46
2010,3804,1,0-4 ára,65
2010,0901,1,0-4 ára,63
2014,3603,2,0-4 ára,60
2018,0601,1,0-4 ára,81
2023,2504,2,0-4 ára,56
2022,0503,1,0-4 ára,54
2023,3504,2,0-4 ára,75
2023,3102,1,0-4 ára,53
2023,2501,2,0-4 ára,61
2015,4202,1,0-4 ára,45
2014,0101,2,0-4 ára,57
2011,1806,1,0-4 ára,22
2019,0706,1,0-4 ára,71
2013,2001,1,0-4 ára,67
2014,1002,2,0-4 ára,103
2024,1102,1,0-4 ára,70
2012,3701,2,0-4 ára,26
2010,0605,1,0-4 ára,31
2023,4101,2,0-4 ára,32
2017,2504,2,0-4 ára,50
2019,4001,2,0-4 ára,29
2010,1204,2,0-4 ára,115
2018,3501,2,0-4 ára,25
2016,3401,2,0-4 ára,67
2011,3003,2,0-4 ára,54
2018,1403,1,0-4 ára,52
2011,2501,1,0-4 ára,66
2016,0203,2,0-4 ára,71
2020,2404,2,0-4 ára,77
2016,1301,1,0-4 ára,51
2017,1804,1,0-4 ára,36
2008,2803,1,0-4 ára,72
2021,4002,2,0-4 ára,65
2017,2406,2,0-4 ára,32
2010,0707,2,0-4 ára,38
2008,2202,1,0-4 ára,18
2019,1502,2,0-4 ára,52
2009,0206,2,0-4 ára,54
2009,1301,2,0-4 ára,91
2009,0803,1,0-4 ára,93
2009,3703,2,0-4 ára,52
2021,1902,1,0-4 ára,29
2011,3804,2,0-4 ára,63
2010,3701,2,0-4 ára,35
2021,3902,2,0-4 ára,56
2012,0501,1,0-4 ára,36
2009,0501,1,0-4 ára,35
2011,1705,1,0-4 ára,46
2010,3301,2,0-4 ára,43
2009,0207,2,0-4 ára,39
2017,2703,2,0-4 ára,65
2020,1404,1,0-4 ára,51
2009,1004,2,0-4 ára,76
2020,1006,1,0-4 ára,57
2012,0603,2,0-4 ára,35
2009,3901,1,0-4 ára,70
2023,1807,2,0-4 ára,48
2023,1602,2,0-4 ára,65
2021,1804,2,0-4 ára,17
2008,1303,2,0-4 ára,76
2014,3003,1,0-4 ára,45
2011,1202,2,0-4 ára,110
2023,3303,2,0-4 ára,45
2008,1501,2,0-4 ára,87
2011,0303,2,0-4 ára,34
2009,1205,2,0-4 ára,47
2018,0603,2,0-4 ára,23
2008,1504,1,0-4 ára,77
2011,2902,2,0-4 ára,37
2012,0602,1,0-4 ára,56
2008,2007,2,0-4 ára,80
2023,0801,2,0-4 ára,44
2024,1806,2,0-4 ára,28
2019,3301,2,0-4 ára,40
2019,2106,1,0-4 ára,57
2018,2804,1,0-4 ára,60
2008,3001,1,0-4 ára,7
2021,3803,1,0-4 ára,29
2012,2105,2,0-4 ára,53
2020,2704,2,0-4 ára,56
2017,1811,1,0-4 ára,46
2009,2901,1,0-4 ára,65
2013,3504,1,0-4 ára,80
2013,1901,1,0-4 ára,69
2020,3703,1,0-4 ára,32
2018,2703,2,0-4 ára,71
2021,3701,1,0-4 ára,36
2015,3901,2,0-4 ára,67
2012,0205,1,0-4 ára,47
2020,3401,1,0-4 ára,64
2014,1703,2,0-4 ára,39
2008,3802,2,0-4 ára,25
2008,3602,2,0-4 ára,48
2008,0603,2,0-4 ára,24
2020,1005,2,0-4 ára,34
2008,3006,2,0-4 ára,51
2018,2802,1,0-4 ára,50
2019,3002,2,0-4 ára,50
2021,1811,2,0-4 ára,51
2024,2006,1,0-4 ára,63
2024,2703,1,0-4 ára,81
2020,3102,1,0-4 ára,49
2024,2202,1,0-4 ára,74
2015,2203,1,0-4 ára,81
2021,3304,1,0-4 ára,33
2011,0502,2,0-4 ára,66
2024,3102,1,0-4 ára,52
2012,2903,2,0-4 ára,40
2011,3302,2,0-4 ára,50
2017,3203,2,0-4 ára,57
2019,0404,1,0-4 ára,70
2012,2005,2,0-4 ára,64
2024,0805,2,0-4 ára,44
2009,1702,1,0-4 ára,25
2009,2504,2,0-4 ára,55
2012,3801,2,0-4 ára,60
2012,0402,1,0-4 ára,86
2022,0704,2,0-4 ára,56
2022,3105,2,0-4 ára,32
2016,1501,1,0-4 ára,64
2016,1801,2,0-4 ára,40
2009,3304,1,0-4 ára,71
2015,3601,1,0-4 ára,51
2011,1805,1,0-4 ára,49
2014,3002,2,0-4 ára,58
2018,0803,1,0-4 ára,83
2020,2402,1,0-4 ára,64
2014,3402,2,0-4 ára,44
2008,1301,2,0-4 ára,87
2013,3203,1,0-4 ára,59
2009,1102,2,0-4 ára,62
2013,2106,1,0-4 ára,103
2020,2504,2,0-4 ára,53
2011,1801,2,0-4 ára,59
2020,3701,1,0-4 ára,37
2013,2006,2,0-4 ára,66
2010,3801,2,0-4 ára,41
2019,1206,1,0-4 ára,29
2024,0503,2,0-4 ára,58
2011,3603,1,0-4 ára,68
2014,4102,2,0-4 ára,108
2015,3305,1,0-4 ára,78
2016,1103,1,0-4 ára,53
2014,1204,2,0-4 ára,91
2010,0201,1,0-4 ára,37
2023,2502,2,0-4 ára,39
2024,3006,1,0-4 ára,40
2023,3503,2,0-4 ára,47
2018,1809,2,0-4 ára,47
2009,3502,1,0-4 ára,52
2010,3901,1,0-4 ára,62
2019,0705,1,0-4 ára,60
2021,0302,1,0-4 ára,73
2008,2702,2,0-4 ára,40
2024,1204,2,0-4 ára,74
2018,0207,1,0-4 ára,35
2017,1903,1,0-4 ára,16
2023,0704,1,0-4 ára,70
2012,1302,2,0-4 ára,117
2016,1603,1,0-4 ára,70
2021,2403,2,0-4 ára,65
2019,0206,1,0-4 ára,65
2016,3403,2,0-4 ára,90
2017,1503,2,0-4 ára,67
2023,4102,1,0-4 ára,77
2008,3601,1,0-4 ára,42
2022,1202,2,0-4 ára,99
2016,3104,1,0-4 ára,59
2020,2401,1,0-4 ára,45
2012,0905,2,0-4 ára,37
2020,0707,2,0-4 ára,43
2012,1005,2,0-4 ára,47
2017,1809,2,0-4 ára,57
2009,3104,2,0-4 ára,56
2009,1902,2,0-4 ára,11
2023,1404,2,0-4 ára,34
2019,2105,2,0-4 ára,38
2010,3204,2,0-4 ára,60
2023,3101,1,0-4 ára,56
2020,1104,2,0-4 ára,53
2015,0606,1,0-4 ára,62
2022,0206,1,0-4 ára,77
2008,3304,2,0-4 ára,70
2020,1304,1,0-4 ára,89
2012,0801,1,0-4 ára,64
2023,1101,1,0-4 ára,59
2023,3004,1,0-4 ára,145
2012,3903,1,0-4 ára,105
2022,3901,1,0-4 ára,70
2017,1402,1,0-4 ára,45
2023,3904,2,0-4 ára,45
2019,1601,1,0-4 ára,47
2014,3402,1,0-4 ára,33
2019,1205,2,0-4 ára,28
2018,3102,1,0-4 ára,47
2021,1904,1,0-4 ára,64
2010,3703,2,0-4 ára,45
2009,1802,2,0-4 ára,51
2013,0201,2,0-4 ára,21
2013,0502,2,0-4 ára,59
2014,2003,2,0-4 ára,27
2008,1201,2,0-4 ára,52
2016,2205,1,0-4 ára,67
2024,1801,1,0-4 ára,32
2019,2904,2,0-4 ára,79
2023,2501,1,0-4 ára,75
2024,3802,1,0-4 ára,41
2008,0804,2,0-4 ára,110
2024,1804,2,0-4 ára,28
2008,3501,1,0-4 ára,36
2011,2005,1,0-4 ára,51
2021,4204,2,0-4 ára,27
2021,4002,1,0-4 ára,76
2023,3402,1,0-4 ára,34
2019,1703,1,0-4 ára,40
2020,2402,2,0-4 ára,49
2020,1404,2,0-4 ára,46
2022,1001,1,0-4 ára,34
2020,1804,1,0-4 ára,28
2014,2803,2,0-4 ára,74
2014,1102,2,0-4 ára,77
2020,1201,1,0-4 ára,27
2017,0602,2,0-4 ára,72
2020,1101,1,0-4 ára,57
2008,1805,2,0-4 ára,39
2017,1201,2,0-4 ára,29
2015,3501,2,0-4 ára,25
2024,3301,2,0-4 ára,35
2013,3403,2,0-4 ára,97
2021,2601,1,0-4 ára,40
2015,2006,2,0-4 ára,73
2021,3601,1,0-4 ára,49
2022,0806,2,0-4 ára,53
2024,0905,2,0-4 ára,32
2012,2301,2,0-4 ára,41
2011,2406,2,0-4 ára,27
2015,4204,2,0-4 ára,40
2016,1401,1,0-4 ára,101
2016,2902,1,0-4 ára,36
2024,0703,2,0-4 ára,39
2017,1402,2,0-4 ára,49
2018,1101,2,0-4 ára,57
2009,2904,1,0-4 ára,111
2020,0204,2,0-4 ára,40
2018,4204,1,0-4 ára,36
2011,0604,2,0-4 ára,49
2017,1001,1,0-4 ára,49
2009,3105,2,0-4 ára,51
2011,0703,1,0-4 ára,51
2008,2101,2,0-4 ára,68
2019,2005,1,0-4 ára,67
2024,1104,2,0-4 ára,57
2015,2302,2,0-4 ára,27
2016,0606,1,0-4 ára,55
2020,1201,2,0-4 ára,33
2024,1602,2,0-4 ára,62
2024,2804,2,0-4 ára,72
2021,0104,2,0-4 ára,30
2014,2401,2,0-4 ára,62
2020,0902,1,0-4 ára,32
2023,2602,2,0-4 ára,59
2023,2102,1,0-4 ára,44
2022,2205,2,0-4 ára,50
2024,4003,2,0-4 ára,35
2021,2601,2,0-4 ára,42
2009,0102,2,0-4 ára,50
2016,2803,1,0-4 ára,82
2016,4103,2,0-4 ára,38
2008,3105,1,0-4 ára,61
2016,0203,1,0-4 ára,55
2018,0304,1,0-4 ára,32
2019,0601,1,0-4 ára,77
2015,1504,2,0-4 ára,55
2008,1809,2,0-4 ára,37
2015,2003,1,0-4 ára,29
2017,3801,1,0-4 ára,48
2008,1807,2,0-4 ára,75
2019,3001,2,0-4 ára,74
2016,1804,1,0-4 ára,36
2015,0902,2,0-4 ára,30
2024,3501,2,0-4 ára,26
2016,1806,1,0-4 ára,22
2009,3903,1,0-4 ára,102
2015,2902,1,0-4 ára,39
2017,3001,2,0-4 ára,57
2013,2201,1,0-4 ára,145
2020,0804,2,0-4 ára,80
2009,3601,1,0-4 ára,41
2013,3402,1,0-4 ára,33
2024,0501,1,0-4 ára,54
2010,1101,2,0-4 ára,40
2012,0304,2,0-4 ára,40
2016,0703,1,0-4 ára,51
2024,0903,1,0-4 ára,79
2010,2007,1,0-4 ára,64
2012,3603,1,0-4 ára,65
2015,1202,1,0-4 ára,99
2016,2404,2,0-4 ára,59
2010,3501,2,0-4 ára,46
2011,1402,1,0-4 ára,43
2019,2101,2,0-4 ára,48
2012,0404,2,0-4 ára,78
2012,3101,2,0-4 ára,77
2022,4002,2,0-4 ára,66
2014,2201,2,0-4 ára,100
2017,4003,1,0-4 ára,32
2024,3601,1,0-4 ára,53
2024,3303,2,0-4 ára,42
2020,0403,1,0-4 ára,34
2019,1104,1,0-4 ára,49
2016,2701,1,0-4 ára,33
2013,0605,1,0-4 ára,45
2013,3504,2,0-4 ára,79
2012,3603,2,0-4 ára,67
2017,3904,1,0-4 ára,69
2009,0803,2,0-4 ára,98
2011,2802,1,0-4 ára,46
2022,0207,1,0-4 ára,45
2012,2105,1,0-4 ára,36
2012,0705,2,0-4 ára,66
2024,3601,2,0-4 ára,58
2011,0803,2,0-4 ára,83
2011,0504,2,0-4 ára,48
2014,1202,2,0-4 ára,105
2014,0204,2,0-4 ára,61
2022,0102,2,0-4 ára,33
2013,1101,2,0-4 ára,32
2018,4102,2,0-4 ára,113
2019,1502,1,0-4 ára,80
2013,1904,1,0-4 ára,35
2019,3401,1,0-4 ára,61
2023,4201,2,0-4 ára,40
2014,1004,1,0-4 ára,81
2012,1304,2,0-4 ára,29
2009,1901,2,0-4 ára,61
2008,2203,1,0-4 ára,22
2008,3004,1,0-4 ára,26
2013,2802,1,0-4 ára,32
2016,1703,1,0-4 ára,44
2014,1402,2,0-4 ára,35
2015,3904,1,0-4 ára,50
2013,2406,2,0-4 ára,35
2022,0606,1,0-4 ára,60
2015,4001,2,0-4 ára,47
2014,2902,2,0-4 ára,43
2012,2301,1,0-4 ára,33
2010,2007,2,0-4 ára,70
2008,2003,1,0-4 ára,26
2016,2301,2,0-4 ára,41
2010,1806,2,0-4 ára,29
2023,2203,1,0-4 ára,83
2008,1206,1,0-4 ára,65
2019,3602,1,0-4 ára,58
2014,0801,2,0-4 ára,57
2013,1102,2,0-4 ára,66
2011,1201,1,0-4 ára,56
2008,0604,2,0-4 ára,50
2017,0601,2,0-4 ára,81
2020,2405,1,0-4 ára,58
2021,1704,2,0-4 ára,44
2020,1202,1,0-4 ára,83
2015,0204,2,0-4 ára,60
2016,2404,1,0-4 ára,62
2016,1808,2,0-4 ára,63
2016,3103,1,0-4 ára,66
2020,0708,2,0-4 ára,62
2018,3301,2,0-4 ára,49
2023,1203,2,0-4 ára,59
2008,0902,2,0-4 ára,38
2014,2105,1,0-4 ára,44
2014,2204,1,0-4 ára,92
2010,2701,1,0-4 ára,45
2014,4001,2,0-4 ára,48
2012,2705,1,0-4 ára,62
2008,1706,1,0-4 ára,53
2015,3603,1,0-4 ára,83
2011,0404,2,0-4 ára,88
2020,0304,2,0-4 ára,32
2015,2903,1,0-4 ára,39
2023,1005,2,0-4 ára,34
2020,1807,1,0-4 ára,47
2014,4202,1,0-4 ára,45
2014,1809,2,0-4 ára,87
2014,3103,1,0-4 ára,77
2018,3503,1,0-4 ára,45
2019,3203,1,0-4 ára,62
2022,1902,2,0-4 ára,35
2024,2105,1,0-4 ára,57
2012,2407,2,0-4 ára,20
2023,2803,2,0-4 ára,120
2021,1807,1,0-4 ára,50
2012,1702,2,0-4 ára,32
2023,1201,2,0-4 ára,40
2019,1403,1,0-4 ára,53
2017,2006,1,0-4 ára,72
2008,3302,2,0-4 ára,54
2024,2902,2,0-4 ára,22
2008,0202,2,0-4 ára,95
2017,1301,2,0-4 ára,62
2008,2601,2,0-4 ára,40
2014,3903,2,0-4 ára,81
2022,0301,2,0-4 ára,84
2021,3901,1,0-4 ára,61
2011,2801,2,0-4 ára,50
2010,1503,2,0-4 ára,64
2010,0404,1,0-4 ára,112
2016,3901,1,0-4 ára,56
2013,2202,1,0-4 ára,76
2019,0904,1,0-4 ára,49
2013,1305,1,0-4 ára,32
2020,4003,2,0-4 ára,27
2018,1203,2,0-4 ára,38
2018,2101,2,0-4 ára,51
2013,1204,1,0-4 ára,115
2009,3001,1,0-4 ára,56
2015,2406,2,0-4 ára,36
2013,3804,2,0-4 ára,59
2011,2101,2,0-4 ára,58
2016,0905,1,0-4 ára,27
2010,0705,1,0-4 ára,51
2024,0601,1,0-4 ára,73
2024,3303,1,0-4 ára,47
2021,4102,2,0-4 ára,98
2024,0601,2,0-4 ára,75
2017,1205,1,0-4 ára,24
2008,2501,1,0-4 ára,60
2017,0103,2,0-4 ára,35
2018,2001,1,0-4 ára,48
2016,1904,1,0-4 ára,44
2016,1702,1,0-4 ára,30
2020,1803,2,0-4 ára,104
2009,0801,2,0-4 ára,46
2023,3102,2,0-4 ára,54
2022,0602,1,0-4 ára,60
2015,1704,1,0-4 ára,51
2015,1702,2,0-4 ára,30
2011,2302,2,0-4 ára,20
2010,0705,2,0-4 ára,67
2010,1503,1,0-4 ára,73
2015,2402,1,0-4 ára,80
2010,1807,1,0-4 ára,79
2010,4001,1,0-4 ára,40
2010,1202,2,0-4 ára,103
2011,1304,1,0-4 ára,30
2024,0401,2,0-4 ára,62
2010,1808,2,0-4 ára,59
2010,0404,2,0-4 ára,78
2016,3005,2,0-4 ára,48
2013,3702,1,0-4 ára,67
2012,0704,2,0-4 ára,60
2024,0206,1,0-4 ára,70
2017,3502,1,0-4 ára,50
2012,0707,2,0-4 ára,45
2012,2007,2,0-4 ára,62
2012,1203,1,0-4 ára,76
2022,0803,2,0-4 ára,60
2012,1811,1,0-4 ára,62
2018,0903,2,0-4 ára,68
2022,1502,2,0-4 ára,76
2013,1401,2,0-4 ára,98
2023,2705,1,0-4 ára,112
2022,3205,2,0-4 ára,40
2020,3105,1,0-4 ára,41
2021,4103,2,0-4 ára,35
2019,1802,1,0-4 ára,24
2017,0604,2,0-4 ára,48
2011,4203,1,0-4 ára,43
2012,1005,1,0-4 ára,46
2012,0807,2,0-4 ára,52
2022,2705,1,0-4 ára,108
2011,0802,1,0-4 ára,46
2022,3401,1,0-4 ára,67
2011,1802,2,0-4 ára,51
2010,3004,2,0-4 ára,69
2011,2201,1,0-4 ára,113
2019,1004,1,0-4 ára,76
2015,1806,2,0-4 ára,25
2021,3201,1,0-4 ára,37
2018,0708,1,0-4 ára,57
2014,2007,2,0-4 ára,54
2022,1809,1,0-4 ára,63
2018,3601,1,0-4 ára,56
2011,0702,2,0-4 ára,30
2011,0705,2,0-4 ára,66
2021,2703,1,0-4 ára,81
2024,2103,1,0-4 ára,47
2023,1202,1,0-4 ára,80
2015,2005,1,0-4 ára,54
2010,2005,2,0-4 ára,66
2020,1807,2,0-4 ára,52
2009,2406,1,0-4 ára,42
2021,2008,1,0-4 ára,25
2020,3103,2,0-4 ára,64
2010,0708,1,0-4 ára,60
2010,1303,1,0-4 ára,65
2013,1402,2,0-4 ára,42
2021,2401,1,0-4 ára,55
2016,2201,1,0-4 ára,107
2012,0302,1,0-4 ára,87
2014,3502,1,0-4 ára,70
2010,2501,1,0-4 ára,58
2010,0104,1,0-4 ára,37
2015,2802,1,0-4 ára,41
2012,0104,2,0-4 ára,36
2020,1401,2,0-4 ára,85
2021,0208,1,0-4 ára,57
2022,0302,1,0-4 ára,73
2017,2404,1,0-4 ára,60
2018,0706,2,0-4 ára,79
2012,0603,1,0-4 ára,38
2008,2406,2,0-4 ára,33
2009,2501,1,0-4 ára,55
2008,3803,1,0-4 ára,37
2019,3704,2,0-4 ára,25
2009,1005,2,0-4 ára,38
2018,2901,2,0-4 ára,63
2015,0206,2,0-4 ára,57
2023,4204,2,0-4 ára,22
2019,2701,2,0-4 ára,30
2018,2503,1,0-4 ára,38
2011,2702,2,0-4 ára,42
2012,3303,2,0-4 ára,50
2012,0703,2,0-4 ára,51
2009,3305,2,0-4 ára,58
2011,2205,1,0-4 ára,84
2016,0402,1,0-4 ára,73
2013,0301,1,0-4 ára,79
2011,0104,2,0-4 ára,47
2010,1504,2,0-4 ára,86
2010,2002,2,0-4 ára,15
2013,4204,1,0-4 ára,29
2023,3003,2,0-4 ára,48
2020,1810,2,0-4 ára,22
2009,1403,1,0-4 ára,73
2011,3101,2,0-4 ára,73
2011,2301,2,0-4 ára,39
2009,1006,2,0-4 ára,74
2009,2102,1,0-4 ára,20
2008,1501,1,0-4 ára,95
2016,1401,2,0-4 ára,99
2016,2002,1,0-4 ára,22
2023,3901,2,0-4 ára,43
2012,3201,2,0-4 ára,38
2011,2106,1,0-4 ára,105
2021,1704,1,0-4 ára,39
2021,3402,1,0-4 ára,27
2011,1807,2,0-4 ára,62
2017,0702,2,0-4 ára,33
2008,3202,2,0-4 ára,57
2019,3701,2,0-4 ára,26
2024,3504,2,0-4 ára,79
2021,3501,1,0-4 ára,36
2017,3601,1,0-4 ára,64
2023,0903,2,0-4 ára,50
2019,1805,2,0-4 ára,70
2013,2001,2,0-4 ára,58
2012,0706,2,0-4 ára,75
2008,4103,2,0-4 ára,31
2018,4102,1,0-4 ára,109
2018,2702,2,0-4 ára,47
2018,1705,2,0-4 ára,48
2017,3006,1,0-4 ára,33
2016,1003,2,0-4 ára,72
2018,3801,2,0-4 ára,57
2017,2601,1,0-4 ára,54
2012,4001,2,0-4 ára,34
2014,0304,1,0-4 ára,51
2010,0303,2,0-4 ára,33
2024,0903,2,0-4 ára,48
2022,3801,1,0-4 ára,83
2009,3801,1,0-4 ára,39
2022,2801,1,0-4 ára,64
2010,3902,2,0-4 ára,72
2016,2702,1,0-4 ára,48
2017,3006,2,0-4 ára,23
2017,1202,1,0-4 ára,97
2012,2801,1,0-4 ára,66
2012,1206,2,0-4 ára,40
2021,2902,2,0-4 ára,32
2011,2202,2,0-4 ára,58
2016,3303,2,0-4 ára,43
2024,0706,1,0-4 ára,101
2012,3404,2,0-4 ára,30
2010,2201,1,0-4 ára,100
2020,2204,2,0-4 ára,60
2020,2702,2,0-4 ára,75
2015,3005,1,0-4 ára,53
2015,1703,1,0-4 ára,47
2010,2804,2,0-4 ára,65
2021,2502,1,0-4 ára,52
2011,1006,1,0-4 ára,68
2021,0704,1,0-4 ára,75
2021,2104,2,0-4 ára,59
2008,0708,1,0-4 ára,58
2011,1601,2,0-4 ára,41
2010,4204,1,0-4 ára,29
2012,1803,2,0-4 ára,2
2020,2004,1,0-4 ára,55
2011,0902,1,0-4 ára,32
2023,0206,2,0-4 ára,52
2013,0902,2,0-4 ára,38
2009,0802,2,0-4 ára,36
2015,3901,1,0-4 ára,77
2020,2701,2,0-4 ára,31
2012,0403,1,0-4 ára,42
2014,2008,1,0-4 ára,21
2014,2102,2,0-4 ára,26
2011,2407,2,0-4 ára,19
2017,2801,1,0-4 ára,50
2011,1808,2,0-4 ára,64
2019,2104,2,0-4 ára,52
2019,2402,1,0-4 ára,58
2015,1808,2,0-4 ára,68
2015,3503,1,0-4 ára,39
2015,0604,2,0-4 ára,55
2010,3801,1,0-4 ára,37
2021,1808,1,0-4 ára,50
2015,2303,2,0-4 ára,51
2019,1804,1,0-4 ára,28
2014,2504,1,0-4 ára,47
2010,2301,2,0-4 ára,35
2020,4002,1,0-4 ára,78
2020,1811,1,0-4 ára,41
2013,1706,2,0-4 ára,69
2011,3104,1,0-4 ára,61
2023,3401,2,0-4 ára,61
2016,0605,1,0-4 ára,42
2021,4101,1,0-4 ára,41
2024,0904,1,0-4 ára,47
2020,1303,2,0-4 ára,44
2020,3201,1,0-4 ára,32
2015,2406,1,0-4 ára,35
2019,2204,1,0-4 ára,40
2022,1601,1,0-4 ára,40
2019,4102,1,0-4 ára,101
2015,2008,2,0-4 ára,28
2013,1006,1,0-4 ára,68
2023,0707,2,0-4 ára,50
